Butter	01001
Blue cheese	01004
Cheese	01009
Curd	01012
Cream cheese	01017
Mozzarella	01026
Parmigiano-Reggiano	01033
Cream	01049
Whipped cream	01054
Eggnog	01057
Milk	01077
Buttermilk	01088
Condensed milk	01095
Yogurt	01116
Egg	01123
Egg white	01124
Yolk	01125
Boiled egg	01129
Oaxaca cheese	01166
Allspice	02001
Star Anise	02002
Bay leaf	02004
Caraway	02005
Cardamom	02006
Chervil	02008
Chili powder	02009
Cinnamon	02010
Clove	02011
Cumin	02014
Curry powder	02015
Fenugreek	02019
Marjoram	02023
Mustard seed	02024
Nutmeg	02025
Oregano	02027
Paprika	02028
Black pepper	02030
Cayenne pepper	02031
Poppy seed	02033
Pumpkin pie spice	02035
Saffron	02037
Salvia officinalis	02038
Savory	02039
Tarragon	02041
Turmeric	02043
Basil	02044
Dill	02045
Mustard	02046
Table salt	02047
Thyme	02049
Vanilla extract	02050
Vinegar	02053
Caper	02054
Horseradish	02055
Rosemary	02063
Peppermint	02064
Spearmint	02065
Balsamic vinegar	02069
Lard	04002
Thousand Island dressing	04017
Peanut oil	04042
Olive oil	04053
Sesame oil	04058
safflower oil	04510
Oil	04518
Shortening	04544
Canola Oil	04582
Margarine	04617
Sunflower oil	04642
Chicken meat	05006
Quail	05157
Turkey	05165
Foie gras	05282
Ostrich	05654
Broth	06013
Cream of mushroom soup	06043
Beef bouillon	06075
Salsa	06164
Tabasco pepper	06169
Fish sauce	06179
Ramen	06583
Hot sauce	06961
Worcestershire sauce	06971
Blood sausage	07005
Chorizo	07019
Pate	07055
Salami	07072
Spam	07909
Bratwurst	07924
All-Bran	08001
Kellog's Apple Jacks	08003
Bran Buds	08005
Cap'n Crunch	08010
Cheerios	08013
Cocoa Krispies	08014
Cookie Crisp	08017
Honey Nut Chex	08019
Corn flakes	08020
Cracklin' Oat Bran	08023
Complete Wheat Bran Flakes	08028
Kellogg's Froot Loops	08030
Kellogg's Frosted Mini-Wheats	08031
General Mills Golden Grahams	08035
Honey Nut Cheerios	08045
Quaker King Vitaman Cereals	08047
General Mills Kix Cereals	08048
Life	08049
Lucky Charms	08050
Kellog's Product 19 Cereal	08058
Raisin Bran	08060
Rice Krispies	08065
Special K	08067
Corn Pops	08068
Frosted Flakes	08069
Honey Smacks	08071
Total	08077
Trix	08078
